"License Permit ID","Premises County","Type","Class","Description","LegalName","DBA","Actual Address Of Premises","Additional Address Information","City","State Name","Zip Code","Original Issue Date","Last Issue Date","Effective Date","Expiration Date","Parent License ID","Legacy Serial Number","AKA Address","Georeference"
"0340-23-133114","Richmond","1","0340","Restaurant","ALAMO STATEN ISLAND BUYER LLC","ALAMO DRAFTHOUSE CINEMA","2636 HYLAN BLVD","STE 230","STATEN ISLAND","New York","10306","11/22/2024","11/22/2024","01/01/2025","12/31/2026",,"1343330",,"POINT (-74.1109 40.5667)"
"0340-24-139840","Richmond","1","0340","Restaurant","PHO 60 INC",,"2602 Hylan Blvd","Suite C","Staten Island","New York","10306","12/23/2024","12/23/2024","12/23/2024","11/30/2026",,"6048733",,"POINT (-74.11175 40.56793)"
"0340-24-136279","Richmond","1","0340","Restaurant","Doherty Apple SI Mall LLC","Applebee's Neighborhood Grill & Bar","2655 Richmond Ave","Space T-113","Staten Island","New York","10314","11/15/2024","11/15/2024","11/15/2024","10/31/2026",,"6045116",,"POINT (-74.16732 40.58207)"
"0340-23-137126","Richmond","1","0340","Restaurant","RANDALLS ISLAND FOOD INC","ZZ PIZZA BAR & GRILL","1 BAY ST","#110 ST GEORGE TERMINAL","STATEN ISLAND","New York","10301","03/19/2025","03/19/2025","04/01/2025","03/31/2027",,"1265744",,"POINT (-74.07258 40.64395)"
"0340-23-130726","Richmond","1","0340","Restaurant","LILLYS RESTAURANT INC","CRYSTAL ROOM","67 OLYMPIA BLVD",,"STATEN ISLAND","New York","10305","01/29/2025","01/29/2025","03/01/2025","02/28/2027",,"1043330",,"POINT (-74.07071 40.59282)"
"0340-23-128468","Richmond","1","0340","Restaurant","OLD WORLD RESTAURANT GROUP LLC","GOODFELLAS","4029 HYLAN BLVD",,"STATEN ISLAND","New York","10308","12/16/2024","12/16/2024","01/01/2025","12/31/2026",,"1344899",,"POINT (-74.14669 40.54156)"
"0340-23-134792","Richmond","1","0340","Restaurant","DANI'S ITALIAN BISTRO INC",,"7331 AMBOY RD",,"STATEN ISLAND","New York","10307","06/05/2025","06/05/2025","07/01/2025","06/30/2027",,"1271755",,"POINT (-74.24157 40.51102)"
"0340-23-130055","Richmond","1","0340","Restaurant","TRATTORIA TOSCANA INC","TRATTORIA TOSCANA","4212 HYLAN BLVD",,"STATEN ISLAND","New York","10308","03/05/2025","03/05/2025","03/05/2025","02/28/2027",,"1314868",,"POINT (-74.15008 40.53736)"
"0340-23-138137","Richmond","1","0340","Restaurant","HBTJ HOSPITALITY LLC","HO-BRAH","412 FOREST AVE",,"STATEN ISLAND","New York","10301","03/13/2025","03/13/2025","04/01/2025","03/31/2027",,"1284523",,"POINT (-74.10314 40.63087)"
"0340-23-138518","Richmond","1","0340","Restaurant","BOCELLI RISTORANTE INC","BOCELLI","1260 HYLAN BLVD","STORE 10A","STATEN ISLAND","New York","10305","09/30/2025","09/30/2025","10/01/2025","09/30/2027",,"1289271",,"POINT (-74.08448 40.59763)"
